,job_title,company_name,location,salary,description
81,Web Development (Frontend),Across The Globe (ATG),Work From Home,"₹ 2,500-7,500 /month","Selected intern's day-to-day responsibilities include:  1. Develop, enhance, test, and maintain web applications by working on HTML, CSS & JavaScript 2. Work with the team to debug and troubleshoot issues 3. Collaborate with the development team to ensure web applications meet standards 4. Suggest new features and approaches to improve web applications 5. Stay up-to-date on web development trends and technologiesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network."
82,Application Testing,Blackcoffer,Work From Home,"₹ 6,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on web application testing 2. Work on mobile app testing 3. Work on functional testing 4. Work on non-functional testing 5. Work on product testing 6. Work on API testing 7. Work on load testing 8. Work on use cases and features testing of the appsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.10WebsiteBlackcoffer is an enterprise software and analytics consulting firm based in India and the European Union (Malta). It is a data-driven, technology, and decision science firm focused exclusively on big data and analytics, data-driven dashboards, applications development, information management, and consulting of any kind, from any source, on a massive scale. We are a young and global consulting shop helping enterprises and entrepreneurs solve big data and analytics, data-driven dashboards, applications development, and information management problems to minimize risk, explore opportunities for future growth, and increase profits more effectively. We provide intelligence, accelerate innovation, and implement technology with extraordinary breadth and depth of global insights into big data, data-driven dashboards, application development, and information management for organizations by combining unique and specialist services and high-level human expertise."
83,Python Full Stack Development,Blackcoffer,Work From Home,"₹ 10,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Develop and maintain web applications using Python, Flask, Django, AngularJS, JavaScript, Node.js, MongoDB, PostgreSQL, Postman, Google cloud computing, and Amazon Web Services 2. Work on developing web applications, frontend, and backend 3. Work on SaaS-based application development 4. Work on web technologies such as Python, flask, Django, Angular React.js, Node.js, etc. 5. Work on NoSQL databases on the back end such as MongoDB and PostgreSQL 6. Work on real-time dashboard development 7. Work on admin dashboard development 8. Work on front-end and back-end parts of the products 9. Work on product development 10. Work on API development 11. Work on cloud platforms like GCP, AWS, Azure, Linode, and Heroku 12. Work on tech stacks such as Flask, Django, React, Node.js, Python, and Angular.js  Note: The internship will be work from home and the successful applicant must have a strong understanding of Python, Flask, Django, AngularJS, JavaScript, Node.js, MongoDB, PostgreSQL, Postman, Google cloud computing, and Amazon Web Services (AWS).Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.12WebsiteBlackcoffer is an enterprise software and analytics consulting firm based in India and the European Union (Malta). It is a data-driven, technology, and decision science firm focused exclusively on big data and analytics, data-driven dashboards, applications development, information management, and consulting of any kind, from any source, on a massive scale. We are a young and global consulting shop helping enterprises and entrepreneurs solve big data and analytics, data-driven dashboards, applications development, and information management problems to minimize risk, explore opportunities for future growth, and increase profits more effectively. We provide intelligence, accelerate innovation, and implement technology with extraordinary breadth and depth of global insights into big data, data-driven dashboards, application development, and information management for organizations by combining unique and specialist services and high-level human expertise."
84,Web Development,Jivichem Synthesis Private Limited,Work From Home,"₹ 8,000 /month","Selected intern's day-to-day responsibilities include:  1. Development and maintenance of JiviChem Site 2. Take care of the content, to be written properly 3. Take care of serverOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.12Jivichem is a state-of-the-art CRO/CDMO. We are committed to providing the highest quality services to drug discovery companies addressing worldwide healthcare needs. The world's top pharmaceutical companies and institutes are also our partners. We have been tested to meet time-sensitive deadlines supporting critical clinical trials. We leverage our significant scientific foundation to maximize collaborative value with our partners.  We help our partners gain the maximum flexibility in leveraging our services in medicinal chemistry SAR development, synthetic route scouting, process optimization, and production to multi-ton scale. Our success comes from our pursuit of ever more stringent scientific demands. Every challenge is an opportunity to show our commitment to our partner's success."
85,Machine Learning,Jivichem Synthesis Private Limited,Work From Home,"₹ 22,000 /month","Selected intern's day-to-day responsibilities include working on deep learning methods.  Requirements:  1.  Must be a good team player 2. Must be able to apply state-of-the-art models for research in the Biomedical fieldOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 1 month4. have relevant skills and interests* Women wanting to start/restart their career can also apply.7Jivichem is a state-of-the-art CRO/CDMO. We are committed to providing the highest quality services to drug discovery companies addressing worldwide healthcare needs. The world's top pharmaceutical companies and institutes are also our partners. We have been tested to meet time-sensitive deadlines supporting critical clinical trials. We leverage our significant scientific foundation to maximize collaborative value with our partners.  We help our partners gain the maximum flexibility in leveraging our services in medicinal chemistry SAR development, synthetic route scouting, process optimization, and production to multi-ton scale. Our success comes from our pursuit of ever more stringent scientific demands. Every challenge is an opportunity to show our commitment to our partner's success."
86,Software Testing,Resolute AI Software Private Limited,Work From Home,"₹ 3,000-6,000 /month","Selected intern's day-to-day responsibilities include:  1. Conduct testing with a basic understanding of functional and regression test automation 2. Create custom test cases and documentation with knowledge of the Selenium Tool Suite (Selenium IDE, Selenium RC, Selenium WebDriver, and Selenium Grid) 3. Use knowledge of Java programming (data types, variables, operators, flow control statements, methods (built-in as well as user-defined), exception handling, file handling, Excel file operations, database operations, and OOPS concepts 4. Use knowledge of element locators, inspecting elements, and Selenium WebDriver API commands or methods to testing 5. Work on test automation framework implementation 6. Create & execute test cases using element locators and the Selenium WebDriver API command 7. Test and document Android appsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteWe work with enterprises to build AI capabilities, platforms, and solutions. We also offer AI consulting and services. We are an AI talent academy leveraging the latest technologies to deliver unique platforms and solutions. We are working on launching unique AI and ML-enabled solutions to solve critical problems around security, customer behavior analytics, and improving customer engagement."
87,Python Development,Resolute AI Software Private Limited,Work From Home,"₹ 4,000-6,000 /month","Selected intern's day-to-day responsibilities include:  1. Create the backend of an AI application using Django, flask, or fast API 2. Deploy models on the cloud (AWS/GCP) 3. Ensure that the application is working dynamically 4. Brainstorm new ideas for integration and optimizing codes 5. Create microservice APIs 6. Work with the Front end (Javascript) and AI team to deliver exciting projects 7. Work on optimization of Database 8. Work on advanced topics and problem statements, finding solutions and making a differenceOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests1WebsiteWe work with enterprises to build AI capabilities, platforms, and solutions. We also offer AI consulting and services. We are an AI talent academy leveraging the latest technologies to deliver unique platforms and solutions. We are working on launching unique AI and ML-enabled solutions to solve critical problems around security, customer behavior analytics, and improving customer engagement."
88,WordPress Development,Hostcode Lab,Work From Home,"₹ 2,000 /month","Selected intern's day-to-day responsibilities include:  1. Conceptualizing industry-specific layout 2. Installing required plugins and themes to the site or the sandbox environment. 3. Building custom layout using Elementor. 4. Customizing using CSS & JS. 5. Adding custom functionalities to t he Website. 6. Working on usability testing. 7. Drafting documentation & Reporting to the manager  You must have hands-on-experience with,  - PHP, HTML, CSS & JS. - SOLO or TEAM Player. - wooCommerce & Basic functionalities of WordPress.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests2WebsiteHostcode is a leading technology company specializing in enterprise application hosting, security, and managed WordPress solutions. With a strong focus on providing reliable and scalable services, to meet the diverse needs of businesses. Whether it's hosting complex enterprise applications, ensuring robust security measures, or optimizing WordPress websites, Hostcode offers a comprehensive range of services designed to enhance performance and streamline operations.  Experience the vibrant and inclusive work culture at Hostcode, where newcomers and freshers are welcomed with open arms, fostering a collaborative environment that encourages innovation and personal growth. Join us and be a part of a team that values creativity, teamwork, and continuous learning, making every day at Hostcode an opportunity to thrive and excel in your career."
89,WordPress Development,Trinetra Media,Work From Home,"₹ 1,000-3,000 /month","Selected intern's day-to-day responsibilities include:  1. Develop WordPress websites 2. Design screens and templates based on WordPress 3. Work on integrating plugins and functionalities into the WordPress website 4. Work on customizing WordPress websites, templates, and plugins 5. Optimize the website in WordPress 6. Handle the SEO on the WordPress websitesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteWe are a Mumbai-based 360 marketing agency. We are into social media marketing, web development, designing, and many more services."
90,iOS App Development,FinLock Technologies Private Limited,Work From Home,"₹ 10,000-20,000 /month","Selected intern's day-to-day responsibilities include:  1. Create and maintain iOS apps 2. Identify and implement stability improvements, including crash fixes and bug fixes 3. Work on utilizing RESTful APIs to connect iOS applications to back-end services 4. Collaborate with the business team to understand requirements and translate them into technical specifications 5. Work on using code versioning tools, such as Git, for efficient collaboration and code managementOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 1 month4. have relevant skills and interests1WebsiteFinlock is a Delhi-based cybersecurity startup that is on a mission to protect people from online fraud. The startup is seed-funded and incubated at IIM Calcutta Innovation Park. We develop AI-based intelligent solutions for online fraud detection. We have products in both the B2C and B2B markets. It was started in 2021 by two college friends (IITian and MBA from Georgetown University) after 14 years of corporate experience. Both founders were themselves victims of online fraud and this inspired them to develop solutions to prevent others from going through similar trauma. "
91,Flutter Development,Support Tech Services,Work From Home,"₹ 1,500 /month","We are looking for a talented and passionate Flutter Developer to join our dynamic team at Support Tech Services Company. As a Flutter Developer, you will have the opportunity to work on exciting projects and contribute to the development of innovative mobile applications.  Selected intern's day-to-day responsibilities include:  1. Develop and maintain high-quality Flutter applications for Android and iOS platforms 2. Collaborate with cross-functional teams to design and implement new features, ensuring seamless integration with existing systems 3. Write clean, efficient, and maintainable code using Flutter and Dart programming languages 4. Conduct thorough testing and debugging to ensure smooth functionality and optimal performance of the applications 5. Stay updated with the latest trends and technologies in mobile app development, and implement best practices in the development process 6. Provide support and troubleshooting for any technical issues or bugs that arise in the applications 7. Work closely with the design team to ensure the user interface and user experience meet the highest standards  Requirements:  1. Strong proficiency in Flutter, Dart, Android, and Firebase 2. Solid understanding of mobile app development principles, including responsive design and performance optimization 3. Experience with Git or other version control systems 4. Ability to work in a fast-paced and collaborative environment 5. Strong problem-solving skills and attention to detail 6. Excellent communication and interpersonal skillsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests2WebsiteWe are an emotional supporting platform with headquarters in New Delhi. Our company was established in 2022 October and now it is going on successfully with all the efforts of the team. We are providing services related to emotional well-being."
92,MERN Stack Development,Across The Globe (ATG),Work From Home,"₹ 4,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing core applications on Express, Node, Mongo, and REST APIs 2. Delivering polished product creation 3. Managing issues, bugs, and change requests using Git 4. Working on coding projects running both online & offline with sockets and API-first architecture 5. Building applications running in real-time on scalable cloud 6. Working on GitHub and GitLab 7. Working on deployment, automated testing, and implementation cycleOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interestsNote: Full-time internship (work from home)-must dedicate 40 hours per week.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network."
93,None,None,None,None,None
94,Python Django Development,Across The Globe (ATG),Work From Home,"₹ 8,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing a web portal using Python/Django 2. Operating CRUD operations effectively 3. Developing an engaging front-end 4. Working with the testing team on bug resolution 5. Working on Git effectivelyOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4Across The Globe (ATG) connects students and professionals around the globe. We are a startup based in Bangalore and aim to help people excel in their career, professional, and personal lives. We have a product that is the need of the hour and worth a billion dollars, which may help millions of people excel in their careers and help those who are struggling to get a better job, direction, and network."
95,Computer Vision,Punchy Labs (OPC) Private Limited,Work From Home,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Conduct research on latest technologies for our product's use case 2. Annotate, train, evaluate and deploy machine learning models 3. Brainstorm on ideas and learnOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 12th Jan'24 and 16th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteWe are a new startup building computer vision and augmented reality products for the fashion and retail industry."
96,Web Development,CITS Worldwide,Work From Home,"₹ 6,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing websites based on PHP & MySQL and Laravel Framework 2. Submitting 100% accurate work within the given deadline 3. Working on daily work reportingOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1We are an IT company providing IT services, including software development, mobile app development, support and maintenance, and BPO."
97,Flutter Development,CITS Worldwide,Work From Home,"₹ 6,000 /month","Selected intern's day-to-day responsibilities:  1. Development of Flutter mobile applications including front-end development and API integration. 2. Submitting 100% accurate work within the given deadline.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1We are an IT company providing IT services, including software development, mobile app development, support and maintenance, and BPO."
98,Web Development,BeeDigital,Thane,"₹ 5,000 /month","Selected intern's day-to-day responsibilities include:  A. Website Maintenance: 1. Update and maintain existing WordPress websites 2. Perform routine backups and ensure data integrity  B. Content Management: 1. Upload, format, and manage website content using the WordPress CMS 2. Ensure consistency in formatting, layout, and design  C. Plugin Management: 1. Install, configure, and update WordPress plugins 2. Troubleshoot any issues related to plugins  D. Collaboration: 1. Work closely with designers, developers, and content creators to implement website features and updates 2. Participate in team meetings and provide input on project progress  E. SEO Optimization: 1. Implement basic SEO best practices, such as optimizing meta tags, images, and content 2. Familiarity with SEO plugins and tools is a plus  F. Security Measures: 1. Follow security best practices to ensure the integrity and safety of websites 2. Keep WordPress core, themes, and plugins up to date to prevent security vulnerabilities  G. Documentation: 1. Document your work, including changes made, issues encountered, and solutions implemented 2. Create user guides or documentation for clients if required  H. Learning and Skill Development: 1. Stay updated on the latest WordPress trends, tools, and technologies. 2. Actively seek opportunities for skill development and improvement  I. Communication: 1. Communicate effectively with team members and supervisors 2. Provide regular updates on your progress and report any challenges  J. Client Interaction: 1. Communicate with clients to understand their requirements 2. Provide support and address client inquiries or issuesOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 12th Jan'24 and 16th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteWelcome to Beedigital, a premier digital marketing coaching institute committed to empowering aspiring marketers with the skills and knowledge required to thrive in the dynamic world of online marketing."
99,WordPress Page Design & Web Graphics,AdCortex,Work From Home,"₹ 7,000-9,000 /month","Selected intern's day-to-day responsibilities include:  1. Utilize pre-existing templates (provided by us) and customize them to meet client requirements using Yootheme 2. Create visually appealing and responsive websites that align with the client's brand and design guidelines, use a consistent color palette and typography across the website 3. Collaborate with the project team to gather client requirements and ensure effective communication throughout the design process 4. Implement custom features and functionalities using Yootheme's advanced capabilities 5. Conduct thorough testing to ensure the functionality, responsiveness, and compatibility of the designed websites 6. Deliver high-quality designs within the agreed-upon timelines 7. Set up important sales and floating cart, etc plugins, Google analytics code 8. Conduct speed testing and minimize the size of images and video assets used on the siteOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteAt AdCortex, we have had years of experience with major networks like Google and Facebook. We have expertise in ad-copy writing and budget management and we make sure that your campaign is getting only the absolute best ROI. We have recognition from the largest advertising networks. This allows us to provide you with the best support, tools, and resources to create a successful advertising campaign regardless of your budget."
100,Product Management,LH2 Holdings,Work From Home,"₹ 30,000 /month","Recruiting Company: SiteGPT (https://sitegpt.ai/), an LH2 Holdings portfolio company. SiteGPT is a top-tier AI support suite used by companies of all sizes, including PE-backed fast-growing SaaS companies to large public companies like Digital Ocean.  Suitable for: Candidates looking to build a career in Product/Growth for fast-growing SaaS companies. This is an internship but with the potential to be converted into a full-time role.  Selected intern's day-to-day responsibilities include:  1. Implement Growth Hacks: Employ data-driven techniques to increase user acquisition, retention, and conversion rates 2. Analytics and Reporting: Monitor and analyze performance metrics, providing insights and recommendations for improvement 3. User Experience Optimization: Contribute to the optimization of the website and user interfaces for better user experience and higher engagement 4. Collaboration with Teams: Work with the engineering, marketing, and product teams to align growth strategies with company goals  NOTE: ENGINEERING GRADUATES ARE PREFERREDOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 1000000 to 1100000 /year1WebsiteLH2 Holdings is a holding company which acquires digital media, saas and marketplace businesses with a vision of building the Berkshire Hathaway of digital businesses. LH2 (Liquid Hydrogen) is the most commonly used rocket fuel - which is what we endevour to be for digital businesses. "
101,Front End Development,Resolute AI Software Private Limited,Work From Home,"₹ 3,000-6,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing web applications using ReactJS and Firebase with state management and signals 2. Using GitHub for version control 3. Deploying apps on Cloud 4. Working with the team and accomplishing assigned tasks 5. Creating and maintaining technical documentation 6. Reporting progress and communicating daily to respective manager  Note : We are strictly looking for full time interns, and we plan to offer a PPO based on the conduct and performance of the candidate. Hence, part time candidates should refrain from applyingOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteWe work with enterprises to build AI capabilities, platforms, and solutions. We also offer AI consulting and services. We are an AI talent academy leveraging the latest technologies to deliver unique platforms and solutions. We are working on launching unique AI and ML-enabled solutions to solve critical problems around security, customer behavior analytics, and improving customer engagement."
102,Web Development (Python/Django),Trade Brains,Bangalore,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Working on backend web development using Django 2. Working on web applications 3. Executing and implementing various projects 4. Maintaining/Improving the website features 5. Performing other web development tasks that are assignedOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4.  are from or open to relocate to Bangalore5. have relevant skills and interests5WebsiteTrade Brains is a financial website helping readers to learn the art of stock investing, trading, portfolio management, financial planning, money management, and more. At FinGrad (an initiative by Trade Brains), we offer the best online courses, webinars, and resources from various top experts who got the real skin in the financial game. FinGrad has been built in the mind to deliver end-to-end financial education at our best standard to our novice investors & traders."
103,Java Developer,Inspironlabs Software Systems Private Limited,Bangalore,"₹ 5,000 /month","Selected intern's day-to-day responsibilities include:  1. Assisting with Technical Support: Providing technical assistance to end-users. Troubleshooting hardware and software issues.  2. Software Development: Collaborating with the development team on coding and programming tasks. Participating in the design and implementation of software solutions.  3. System Maintenance: Conducting routine system checks and maintenance tasks. Ensuring the security and efficiency of IT infrastructure.  4. Data Analysis: Assisting in the analysis of data to identify trends and patterns. Generating reports and summaries based on analytical findings.  5. Documentation: Creating and updating documentation for IT processes and procedures. Maintaining records of configurations, installations, and troubleshooting steps.  6.Collaboration and Communication: Collaborating with team members on various IT projects. Communicating effectively with colleagues and end-users.  7. Research and Learning: Staying informed about the latest industry trends and technologies. Engaging in continuous learning and professional development.  8. Networking and Security: Assisting in the implementation and maintenance of network security measures. Participating in security audits and risk assessments.  9. Project Assistance: Supporting IT projects by contributing to planning and execution. Assisting in project documentation and reporting.  10. Ad Hoc Tasks: Handling miscellaneous IT-related tasks and requests. Providing support during IT events or special projects.Only those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.5WebsiteInspironLabs is software Services company. We have a team of highly skilled employees providing solutions to clients requirements with latest technology and industry standard. We successfully developed various solutions to enterprise and end users with our application deployed across globe. We are working on some highly innovative products which will be part of our story in coming time  We created InspironLabs to provide clients a unique combination of: Industry Focus: Our team has worked in the IT industry for various domains and provides the solutions with high industry standards and technology. With the solutions provided by us, clients have benefited with increase the revenue of the organization, Ease the life of the users, reduce the time of the transactions"
104,Flutter App Development,Dynish,Work From Home,"₹ 3,000-3,500 /month","We are seeking a skilled and passionate Flutter app developer to join our dynamic team and contribute to the development of innovative and user-friendly mobile applications for our clients. You will be responsible for designing, developing, and maintaining high-quality cross-platform mobile apps using Flutter and Dart.  Selected intern's day-to-day responsibilities include:  1. Design and develop robust and scalable Flutter apps for both iOS and Android platforms 2. Collaborate with cross-functional teams to define and implement app features 3. Write clean, maintainable, and well-documented code 4. Integrate with REST APIs and backend services 5. Optimize app performance and responsiveness 6. Test and debug applications to ensure quality and functionality 7. Stay up-to-date with the latest Flutter and Dart technologies 8. Follow best practices for mobile development 9. Contribute to code reviews and continuous improvement initiatives  Preferred qualifications:  1. Experience with BLoC state management libraries 2. Experience with offline storage and caching mechanisms 3. Experience with Agile development methodologiesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteAn India-based startup aimed to bring the next-generation dining experience. At Dynish, we're more than just a food platform, we're your partners in culinary excellence. Our india-based startup is on a mission to redefine the dining experience for the modern world. Imagine a place where foodies, food court owners, restaurant proprietors, chefs, and waitstaff all come together under one virtual roof to create, connect, and savor the future of food."
105,Web Development,Truebodh Technologies Private Limited,Noida,"₹ 3,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing web application using PHP/Java/ASP.NET 2. Developing MVC and cloud-based application including database management 3. Working on API based web and mobile apps 4. Working on SQL (SP and Queries) 5. Putting innovative efforts to create unique products for the organization 6. Preparing prototype and documentation for customized productsOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4.  are from or open to relocate to Ghaziabad, Noida, Ghaziabad Sub-District and neighboring cities5. have relevant skills and interests3We are online training and Solution based company specialized in offering IT training services in areas like software development and mobile system administration in addition to offering cloud services and support."
106,Node.js Development,Autowhat,Mumbai,"₹ 2,000-5,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on the backend 2. Work on REST API 3. Work on Mongo DB (optional)Only those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 3 months4.  are from or open to relocate to Mumbai and neighboring cities5. have relevant skills and interests2WebsiteInnoLab Solutions is at the forefront of the rapidly evolving information technology landscape, dedicated to bringing innovative solutions that seamlessly blend artificial intelligence (ai) and automation. As a leading IT company, we are driven by a passion for harnessing the power of cutting-edge technologies to empower businesses, streamline processes, and create transformative user experiences.  Our core competencies encompass a wide range of services, from developing intelligent software that thinks and learns like humans, to implementing automation tools that boost operational efficiency and reduce costs. Our team of seasoned professionals is committed to understanding your unique business challenges and tailoring solutions that align with your strategic objectives."
107,Flutter Development,Ostello India Private Limited,Work From Home,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Creating a Flutter-based mobile app for Android & iOS 2. Handling the endpoints connections with the backend 3. Working on database management, and authentication using Google and Facebook 4. Working on complete user experience & smooth workings of the application 5. Creating 100% same UI designs 6. Handling local and server push notifications  Requirements:  1. Should be able to handle complex tasks, such as real-time wallet (coin), channel-wise discussions, hashtag-related content & Q&A management 2. Flutter (dart with asynchronous programming) 3. Good state management with Provider 4. Handle REST API with HTTP or Dio 5. Clean code with good file management 6. Knowledge of caching with shared preferencesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 4 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2Ostello India Private Limited is the world's first B2B marketplace for coaching institutions. It gives the institutions a platform to tell the students about their institute, facilities, faculty, and success stories.  Every institute can stand among the best institutes in India and use Ostello's resources to grow its business. If you are a student, you just got lucky as Ostello lets you find the best coaching institutes near you. Compare and choose through location, demo classes, course fees, and discount offers, and select what's best for you & make the right decision for your career. It's time to own your career!"
108,Android App Development,SurePass Technologies Private Limited,Delhi,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include:  1. Build new interfaces and flows for our customers and constantly think of tradeoffs between power consumption, responsiveness, and clean code 2. Conduct an experiment with the UX and respond to changes in customer behavior 3. Build Android code in Kotlin 4. Work extensively with Android, RxJava, and material design to build new features and screens to deal with payments and chatOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2SurePass Technologies has launched a first-of-its-kind check-in service that allows on-ground businesses such as hotels, banks, residential/corporate buildings to onboard and manages customers/visitors by verifying their ID credentials in real-time. SurePass Technologies' API can authenticate and digitally store a customer/visitor's Aadhar card, driver's license, voter ID, and PAN for your compliance or security needs."
109,WordPress Development,Metricoid Technology Solutions Private Limited,Work From Home,"₹ 4,000 /month","Selected intern's day-to-day responsibilities include:  1. Assisting in designing and implementing new features and functionality on WordPress websites 2. Creating responsive website designs that work seamlessly across different devices and browsers 3. Collaborating with the design and development teams to ensure quality and timeliness 4. Exploring and implementing CSS3 styles to enhance website appearance and user experience 5. Llearning and staying updated with WordPress standards and trends  What We're Looking For:  1. Familiarity with WordPress and its functionalities 2. Excellent web design skills with a strong portfolio showcasing your work 3. Understanding of responsive design and its implementation 4. Proficiency in CSS3 and an understanding of how it can enhance website experiences 5. Ability to work well in a team environment and under deadlines 6. Passionate about learning and growing in the WordPress space  In order to get shortlisted kindly attempt the assessment :  Assessment Link : https://creator.mtesthub.com/job/post/details/75f56b6e-59e6-47a3-a881-46e93bede7fbOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interests4WebsiteMetricoid Technology Solutions Private Limited is a leading software development company registered in the UK and India. We have a global presence in the USA and France. We work with overseas clients across the world to develop their software products. Our core services are SaaS product development, custom web & mobile app development, and machine learning."
