Unnamed: 0,job_title,company_name,location,salary,description,company_description,jobs_posted,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,htp_ratio,no_of_employee,verified
121,"
                                Data Analyst Trainee                            ",Nindo Education LLP,Bhopal,"₹ 4,00,000 - 5,00,000","As a data analyst trainee at Nindo Education LLP, you will have the opportunity to work with a dynamic team and gain hands-on experience in the field of data analytics. We are looking for a candidate who is proficient in Python, R Programming, Power BI, and Tableau, and has a strong understanding of data analytics concepts.  Key responsibilities:  1. Assist in collecting, organizing, and analyzing data from various sources to provide insights and recommendations 2. Develop visualizations and dashboards using tools like Power BI and Tableau to effectively communicate data findings 3. Collaborate with team members to identify trends and patterns in data and present findings to stakeholders 4. Conduct data cleaning and preprocessing tasks to ensure accuracy and consistency in data sets 5. Assist in developing predictive models and machine learning algorithms to support decision-making processes 6. Stay up-to-date with industry trends and best practices in data analytics to continuously improve skills and knowledge 7. Participate in training sessions and workshops to enhance technical skills and expand knowledge in the field of data analytics  If you are passionate about data analysis and eager to learn, this is the perfect opportunity for you to kickstart your career in data analytics. Join us at Nindo Education LLP and be a part of a team that is dedicated to making a positive impact through data-driven insights.Annual CTC: ₹ 4,00,000 - 5,00,000 /year12We're an edtech startup that trains candidates for sales roles, gets them placed, and coaches them until they start making 1,00,000 per month. The best part is that we provide pay after placement option, so you don't have to pay anything until you get your first salary.  We only enroll students who have completed their graduation and have good English communication skills.",1,28,0.0,1,1,1,1,1,0,,0
122,"
                                Java Developer (Backend Development)                            ",Skooly,Chennai,"₹ 2,00,000 - 3,00,000","We are looking for developers with a passion for software craftsmanship and beautiful interfaces. If you would like to work on challenging problems with smart people on game-changing products, this role is for you. This position is remote, and you can work from any location.  Key responsibilities:  1.   Contributing to our REST APIs written in Java, Spring, and Hibernate 2. Making the APIs super-fast by tuning their performance (SQL query tuning, 2nd level caches) 3. Helping improve code quality through writing unit tests, automation, and performing code reviews  Skills needed:  1. Hands-on expertise on the Spring Boot + JPA/Hibernate stack 2. Familiar with MySQL, MongoDB 3. Familiar with AWS Stack (EC2, S3, AWS SDK) and Linux 4. Familiar with HTML5 , CSS3 and JavaScript 5. Hands-on experience with AngularJS, Vue/ReactJS 6. Experience with Ionic is a plus 7. Familiar with Jenkins, Git, Jira  Eligibility: 6 months to 1 year of relevant experience  We offer remote work and a great learning and growth environment. You will get to work with people who build world-class products for a global audience.1.  Those who are from or open to relocate to Chennai, Bangalore, Tamil Nadu and neighboring cities1. Ability to learn technology quickly through instruction and self-training2. Good verbal and written communication skills3. Good interpersonal and team coordination skills4. Must be proactive & self-driven5. Must be a quick thinkerAnnual CTC: ₹ 2,00,000 - 3,00,000 /year2WebsiteSkooly is a fast-growing global SaaS company in the education space. We are building a marketplace for online and offline learning journeys. We have a passionate and talented team that has developed legendary products deployed across the globe, always at the forefront of cutting-edge technologies. Based out of Singapore and India, we have a rapidly growing customer base across 5 countries and 2 continents. We are looking for you to join our remote team in our next stage of growth.",1,86,0.0930232558139534,1,1,9,1,1,0,,0
123,"
                                React Native Developer                            ",Flatbay.in,Work from home,"₹ 3,50,000","Key responsibilities:  1. Designing and implementing user interfaces and experiences that are intuitive, visually appealing, and user-friendly. 2. Managing application state effectively using tools like Redux, MobX, or React Context API to ensure data is handled appropriately and consistently across components. 3. Creating reusable React Native components to ensure consistency and efficiency throughout the app. 4.  Implementing navigation within the app using React Navigation or similar libraries to enable seamless transitions between screens and navigation flows.Annual CTC: ₹ 3,50,000 /year3Flatbay is a user-friendly mobile application designed to simplify the process of finding flats and compatible flatmates. Our platform offers a hassle-free solution for individuals seeking accommodation by providing a centralized hub for browsing available flats and connecting with potential flatmates.",1,1,0.0,1,1,4,1,1,0,,0
124,"
                                SDE - Professor                            ",Geeks Of Gurukul,Bhopal,"₹ 4,00,000 - 8,00,000","Key Responsibilities:  1. Conducting training sessions in Java or Python, and front-end technologies including HTML, CSS, JavaScript, and React. Develop and refine training materials and curriculum based on current industry standards 2. Guiding students through their learning process, offering support and advice, particularly in areas related to coding, project development, and problem-solving 3. Ensuring courses are up-to-date with the latest tech trends. Regularly assess and improve course content and teaching methods 4. Maintaining clear and effective communication with students. Facilitate a positive and productive learning environment 5. Working closely with other trainers and the curriculum development team to enhance the overall training experience1. Candidates with minimum 1 years of experience.1. Strong Lesson Planning and Education skills2. Excellent Communication and Teaching skills3. Experience in designing and delivering effective training programs4. Experience in Programming and using data to drive improvements in education5. Experience with programming languages such as Python, C++, and Java6. Bachelor's or Master's degree in Education, Computer Science, Mathematics, or a related field7. Ability to work independently and collaboratively with a team8. Excellent problem-solving and critical-thinking skills9. Knowledge of machine learning and statistical analysis is a plusAnnual CTC: ₹ 4,00,000 - 8,00,000 /year6WebsiteGeeks of Gurukul is a leading skill-building school where we upskill you and provide the opportunity to work directly with industry experts on the latest projects. It has been founded with a mission to solve the problem of learning outcomes. We allow you to develop your abilities and get employed in top tech and nontech companies. We are an organization that offers programs in both IT and non-IT domains providing equal opportunity to everyone. At Geeks of Gurukul, learners focus on the skill that is needed by real employers. Our commitment is to make education accessible and affordable to all. Geeks of Gurukul are working to democratize higher education in the true sense. Geeks of Gurukul as the name suggests is a digital gurukul offering various technical programs with guaranteed job opportunities.",1,8,0.125,1,1,3,1,1,0,,1
125,"
                                Accessibility Tester                            ",QA Solvers,Work from home,"₹ 3,00,000 - 5,50,000","Key responsibilities:  1. Evaluate and ensure digital content, including websites and applications, meets accessibility standards such as WCAG 2. Conduct hands-on testing with assistive technologies to identify accessibility barriers 3. Implement solutions to enhance video and multimedia accessibility, including captions, audio descriptions, and accessible media players 4. Collaborate with design and development teams to integrate accessibility into project lifecycles 5. Provide training and awareness on accessibility best practices and requirements  Skills: WCAG, ADA, screen reader, magnifiers, section 508.1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 3,00,000 - 5,50,000 /year20WebsiteFounded in early 2020, QA Solvers is an emerging brand in educational content creation across all subjects and domains. We provide the finest quality content at the most reasonable rate to our clients. We are preferred for our timely and quality deliveries.",1,1172,0.0631399317406143,1,1,3,1,1,0,,0
126,"
                                Section 508 Tester                            ",QA Solvers,Work from home,"₹ 2,00,000 - 3,50,000","Key responsibilities:  1. Provide detailed reports documenting findings, recommendations, and remediation steps for achieving 508 compliance 2. Utilize knowledge of section 508 standards for accessible electronic and information technology for better enforcement 3. Guide and implement 508 compliance strategies  Skills: Section 508 compliance.  Requirements:  1. Fluency in English (Both spoken and written) 2. Available for immediate joining 3. Proven experience in 508 compliance accessibility1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 2,00,000 - 3,50,000 /year10WebsiteFounded in early 2020, QA Solvers is an emerging brand in educational content creation across all subjects and domains. We provide the finest quality content at the most reasonable rate to our clients. We are preferred for our timely and quality deliveries.",1,1172,0.0631399317406143,1,1,1,1,1,0,,0
127,"
                                Junior Web Developer                            ",Biz Box Story,Work from home,"₹ 3,00,000 - 4,80,000","Key responsibilities:  1. Develop and maintain websites of clients 2. Website coding, Word press, Shopify, WIX site, dot pe, and other e-commerce sites 3. Website content, and website images. image tagging. 4. Google console, SEO optimization of sites 5. Add products, and fix issues or problems on client sites1. Candidates with minimum 1 years of experience.1. English written proficiency2. Website management3. Be thorough, detail-oriented, and have an esthetic senseAnnual CTC: ₹ 3,00,000 - 4,80,000 /year2WebsiteBizBoxStory is your go-to resource for all things related to digital marketing. We are one of the best SEO service providers in USA & WorldWide, Specializing in services like content creation, social media marketing, PPC, and SEO. We provide blogs On-Page & Off Page articles to boost your google rankings. We focus on small and medium size businesses with emphasis on insurance, insuretech and cannabis industry.",1,4,0.25,1,1,6,1,1,1,,1
128,"
                                Senior Data Engineer (Python)                            ",Health Data Max LLC,Work from home,"₹ 5,00,000 - 5,50,000","As a Senior Data Engineer at Health Data Max LLC, you will play a crucial role in designing, developing, and maintaining our data infrastructure to support our healthcare analytics platform. We are looking for a talented individual who is experienced in Python, NoSQL databases, AWS, MEAN/MERN Stack, ReactJS, Node.js, CI/CD, Microsoft Azure, and Machine Learning.  Key responsibilities:  1. Design and implement scalable data pipelines to ingest, process, and analyze large volumes of healthcare data 2. Optimize and tune existing data systems for performance and efficiency 3. Collaborate with cross-functional teams to integrate data analytics solutions into our platform 4. Develop and maintain data models and schemas for efficient data storage and retrieval 5. Implement best practices for data security, compliance, and governance 6. Stay up-to-date on the latest trends and technologies in data engineering and machine learning  If you are passionate about leveraging data to improve healthcare outcomes and have the skills to drive innovation in a fast-paced environment, we would love to hear from you. Join our team and make a difference in the world of healthcare analytics!1. Candidates with minimum 2 years of experience.2. Must have React.js and Node.js skill-set along with Python3. Must have good experience/Knowledge in AI/ML models4. Must be from either Hyderabad or DelhiAnnual CTC: ₹ 5,00,000 - 5,50,000 /year1WebsiteWe provide solutions to the US healthcare industry in value-based space tackling the high cost of care and delivering optimum patient outcomes.",1,1,0.0,1,1,3,1,1,0,,0
129,"
                                Junior Software Developer                            ",Alliance Infotech,Delhi,"₹ 2,00,000 - 4,00,000","Key responsibilities:   1. Managing, maintaining, and configuring existing Asterisk IP- PBX and integrating it with various other forms. 2. Asterisk integration with PSTN is preferred. 3. Hands-on experience in WEBRTC 4. Asterisk integration with PSTN is preferred.  Requirements:  1. VoIP/Asterisk/SIP Developer 2. VOIP software development 3. Asterisk development experience  SIP Development experience What's in it for you:  1. Cutting edge Telephony software experience 2. Outstanding compensation package Required Skills  VOIP, Asterisk, OpenSER (OpenSIPs), SIP, PBX, Phone Systems, Telephony, Software Developer If you are a good fit for the Asterisk Developer - VOIP Developer - SIP Developer position, and have a background in Information Technology, Engineering, Professional Services & Telecom  So, if you are a Software Developer with Asterisk or VOIP experience, please apply today! Role:  Back End Developer Industry Type:  Telecom / ISP Department:  Engineering - Software & QA Employment Type:  Full Time, Permanent Role Category:  Software Development Education UG:  B.Tech/B.E. in Computers PG:  M.Tech in Computers Key Skills Telecom VOIP Telephony SIP professional services information technology.1. Immediate joining2. UG: B.Tech/B.E. in Computers3. PG: M.Tech in ComputersAnnual CTC: ₹ 2,00,000 - 4,00,000 /year2Alliance Infotech is an ISO 9000:2015 certified company and offers offshore software development services in the web technologies, computer telephony, and embedded software area. Established in 1997 and headquartered in New Delhi (India), Alliance has over the years demonstrated expertise in complete software product development. We have expertise in the field of enterprise-grade computer telephony components and e-business infrastructure software. We deliver the critical building blocks to serve the converging internet and telecommunication market segments.",1,2,0.0,1,1,9,1,1,0,,0
130,"
                                JavaScript Developer                            ",VIYET,Work from home,"₹ 2,00,000 - 2,40,000","As a JavaScript Developer at VIYET, you will be part of a dynamic team working on cutting-edge projects in the e-commerce industry. Your in-depth knowledge of JavaScript, Node.js, and ReactJS will be crucial in creating innovative and user-friendly web applications.  Key responsibilities:  1. Collaborate with cross-functional teams to design, develop, and implement high-quality software solutions 2. Write clean and efficient code to enhance the speed and functionality of our web applications 3. Troubleshoot and debug applications to ensure optimal performance and user experience 4. Stay up-to-date with the latest technologies and trends in the JavaScript ecosystem 5. Implement best practices in coding, testing, and deployment processes 6. Participate in code reviews and provide constructive feedback to team members 7. Contribute to the continuous improvement of our development processes and workflows  If you are passionate about JavaScript development and thrive in a fast-paced environment, we want to hear from you! Join our team at VIYET and be a part of revolutionizing the online shopping experience for our customers. Apply now and take your career to the next level!Annual CTC: ₹ 2,00,000 - 2,40,000 /year1WebsiteWe are dedicated to revolutionizing the way businesses leverage technology to achieve their goals. As a premier IT services company, we offer a comprehensive suite of solutions designed to enhance efficiency, drive innovation, and propel growth in today's fast-paced digital landscape.",1,1,0.0,1,1,8,1,1,0,,0
131,"
                                Front End Developer                            ",SalonTym,Noida,"₹ 5,00,000 - 6,00,000","As a Front End Developer at SalonTym, you will have the opportunity to showcase your skills in CSS, HTML, Bootstrap, and JavaScript to enhance our online presence and user experience. We are looking for a talented individual who is passionate about creating visually appealing and user-friendly interfaces for our clients.  Key Responsibilities:  1. Collaborate with the design team to implement website designs with precision and attention to detail 2. Optimize web applications for maximum speed and scalability 3. Develop new features and functionality to enhance user interaction and experience 4. Troubleshoot and debug issues to ensure seamless performance across all platforms 5. Stay up to date with the latest technologies and trends in front-end development 6. Conduct thorough testing to ensure cross-browser compatibility and responsiveness 7. Work closely with back-end developers to integrate front-end components with server-side logic  If you are a creative problem-solver with a strong portfolio showcasing your front end development skills, we want to hear from you! Join our team at SalonTym and be a part of revolutionizing the way our clients connect with their customers online.1. Candidates with minimum 2 years of experience.Annual CTC: ₹ 5,00,000 - 6,00,000 /year2WebsiteSalonTym has recently found a solution for your problem of not having enough time for self-grooming, by delivering the outstanding and most convenient beauty assistance to your door. We go wherever to provide you with a luxe feel in the comfort of your own home, hotel, or wedding location. The initiative runs predominantly for the women of the era and aspires to contribute to women's empowerment by hearing the bells of the changing times. ",1,1,0.0,1,1,10,1,1,0,,0
132,"
                                Front End Developer                            ",Avaari,Work from home,"₹ 3,00,000 - 8,00,000","Avaari is seeking a talented and dynamic front end developer to join our team. If you have a passion for creating beautiful and intuitive user interfaces and enjoy working in a collaborative and fast-paced environment, then this is the perfect opportunity for you!  Key responsibilities:  1. Develop and maintain interactive and responsive web applications using AngularJS, Bootstrap, CSS, HTML, JavaScript, jQuery, ReactJS, and Swift 2. Collaborate with cross-functional teams to design and implement innovative solutions that meet business requirements and user needs 3. Write clean, efficient, and well-documented code that adheres to best practices and industry standards 4. Conduct thorough testing and debugging to ensure high-quality and bug-free software 5. Stay up-to-date with the latest trends and technologies in front-end development to continuously enhance the user experience 6. Work closely with designers and product managers to translate wireframes and mockups into pixel-perfect interfaces 7. Participate in code reviews and provide constructive feedback to ensure the team's code quality and overall improvement  Join Avaari and be a part of our exciting journey to revolutionize the way people interact with technology. Showcase your skills, unleash your creativity, and contribute to building cutting-edge web applications that will leave a lasting impact. Apply now, and let's create something extraordinary together!Annual CTC: ₹ 3,00,000 - 8,00,000 /year5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,8,1,1,0,,0
134,"
                                Software Developer                            ",Avaari,Delhi,"₹ 2,00,000 - 6,00,000","Key responsibilities:  1. Develop and implement innovative blockchain solutions using your expertise in blockchain technology and C++ programming 2. Collaborate with cross-functional teams to design, develop, and deploy decentralized applications (dApps) on the Ethereum platform 3. Utilize your knowledge of GNU Octave to analyze complex data sets and provide insights for optimizing blockchain protocols 4. Create intuitive and user-friendly interfaces using ReactJS to enhance the user experience of our blockchain-based products 5. Collaborate with the web development team to integrate web3.js into our applications, ensuring seamless interaction with the Ethereum network 6. Stay updated with the latest trends and advancements in blockchain technologies and actively contribute to the improvement of our development processes 7. Work closely with the Avaari team to research, propose, and implement improvements in our existing blockchain infrastructure to achieve scalability, security, and efficiency  Join Avaari, a leading blockchain solutions provider, where you will have the opportunity to work on cutting-edge projects and shape the future of decentralized technologies. As a blockchain developer, your expertise in blockchain, C++ programming, Ethereum, GNU Octave, ReactJS, and web3.js will be essential in creating innovative blockchain solutions. You will collaborate with cross-functional teams to design and deploy decentralized applications (dApps) on the Ethereum platform. Your knowledge of GNU Octave will be crucial in analyzing complex data sets to optimize blockchain protocols, while your proficiency in ReactJS and web3.1.  Those who are from or open to relocate to Delhi, Pune, Mumbai, Bangalore and neighboring citiesAnnual CTC: ₹ 2,00,000 - 6,00,000 /year5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,14,1,1,0,,0
135,"
                                Artificial Intelligence (AI) Executive                            ",Avaari,Work from home,"₹ 3,00,000 - 8,00,000","Key responsibilities:  1. Develop and implement AI strategies and solutions to enhance operational efficiency and drive growth 2. Design and develop AI models, utilizing Python, machine learning, deep learning, and NLP techniques, to solve complex business problems 3. Conduct research and stay up-to-date with the latest advancements in AI and related fields to bring innovative ideas and strategies to the table 4. Collaborate with cross-functional teams, including data scientists, engineers, and product managers, to define AI requirements and deliver high-quality solutions 5. Analyze and interpret large and complex datasets to extract meaningful insights and drive data-driven decision-making processes 6. Optimize and fine-tune AI algorithms to ensure optimal performance and accuracy in real-world scenarios 7. Stay abreast of emerging trends and technologies in AI and contribute to the continuous improvement of our AI capabilitiesAnnual CTC: ₹ 3,00,000 - 8,00,000 /year6We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,2,1,1,0,,0
136,"
                                iOS App Developer                            ",Avaari,Work from home,"₹ 2,00,000 - 5,00,000","Key responsibilities:  1. Develop and maintain high-quality iOS applications using Swift and Objective C, ensuring seamless performance and exceptional user experience 2. Collaborate with cross-functional teams to understand project requirements, design application architecture, and implement best coding practices 3. Conduct thorough testing to identify and fix bugs, performance issues, and other technical glitches, ensuring the highest level of app stability 4. Stay updated with the latest iOS technologies, frameworks, and tools, and proactively integrate them into app development processes 5. Implement REST APIs to connect mobile applications with backend services, ensuring seamless data transmission and integration of third-party services 6. Collaborate with UX/UI designers to create visually appealing and intuitive user interfaces, optimized for various iOS devices and screen sizes 7. Work closely with project managers to ensure timely delivery of projects, while also providing accurate progress updates, estimations, and recommendations to enhance app functionalityAnnual CTC: ₹ 2,00,000 - 5,00,000 /year5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,11,1,1,0,,0
137,"
                                Mobile App Developer                            ",Avaari,Work from home,"₹ 2,40,000 - 6,00,000","Key responsibilities:  1. Develop and maintain high-quality mobile applications for both Android and iOS platforms using Flutter, React Native, and Java 2. Collaborate with cross-functional teams to gather and understand project requirements, ensuring the delivery of user-centric and intuitive mobile app solutions 3. Implement and integrate Firebase services and REST APIs into mobile applications to enhance functionality and user experience 4. Stay up-to-date with the latest trends and technologies in mobile app development, actively suggesting innovative ideas and improvements for our applications 5. Troubleshoot and debug issues to ensure smooth performance and optimal functionality of mobile applications across different devices and platforms 6. Conduct thorough testing of mobile applications, identifying and fixing any bugs or glitches to ensure a seamless user experience 7. Collaborate with backend developers, utilizing Node.js and ReactJS, to integrate mobile applications with server-side systems and databasesAnnual CTC: ₹ 2,40,000 - 6,00,000 /year5We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,11,1,1,0,,0
138,"
                                Data Scientist                            ",Avaari,Work from home,"₹ 2,40,000 - 7,00,000","Key responsibilities:  1. Analyze complex datasets to extract valuable insights and help our company make informed decisions, resulting in improved operations, enhanced customer experiences, and increased revenue 2. Develop advanced machine learning models using techniques such as deep learning and NLP 3. Work on solving complex problems and creating innovative solutions that drive the success of our products and services 4. Work closely with our engineers, product managers, and business analysts, you will identify opportunities to leverage data and develop strategies for improving our products and services 5. Help us stay ahead of the competition and deliver exceptional value to our customers 6. Work on implementing scalable and efficient data pipelines, ensuring the reliable flow of data from various sources 7. Work on identifying areas for improvement in our data infrastructure and processesAnnual CTC: ₹ 2,40,000 - 7,00,000 /year3We are a community platform for women to get jobs, gigs, and freelancing opportunities all across the country. This is with an intent to bring women to the workforce and make them potential earning members of their family.",1,606,0.0,1,1,1,1,1,0,,0
139,"
                                Associate Product Manager                            ",Internshala,Gurgaon,"₹ 5,40,000 - 7,20,000","Remember  Bob, the builder  and his pals? They solved problems with a positive attitude & loved building new things together. If you idolized Bob as a child and dreamt of building things and solving problems like him, we have just the role for you.  We are looking for our own master builder (read product manager) who wants to build solutions for problems in skill-building and recruitment. As a product manager, you will take on the challenge of building a world-class internship platform. You will wear multiple hats (just like Bob) & work with different teams to deliver high-quality products.  If you have the following characteristics of Bob and his pals, this role is for you -  1. Bob  - Bob is an enthusiastic builder and along with his team, he is able to convert any idea into reality. He has great communication skills which help him co-ordinate with his team-mates 2. Roley  - Roley keeps rolling. He is a hustler who is always ready for anything and likes to be able to prove that anything is possible 3. Mucky  - Just as the name suggests, Mucky loves to dig deep into the muck. Like Mucky, you need to be able to dig deep into a problem and find its root cause 4. Lofty  - Lofty sets himself high goals. He is passionate about his work and always aims for perfection. Just like him, you should be immensely passionate about building beautiful high-impact products 5. Scoop  - Scoop is full of creative ideas and with a little help, he can always find a way to dig himself out of a problem 6. Dizzy  - Dizzy is witty and is good with numbers. She is a know-it-all. Just like her, you should be capable of pulling data that you require and generating insights from it  Key responsibilities:  1. Developing the product road map - why, what, when & how to build 2. Designing elegant & thorough solutions to problems & getting them implemented along with other teams 3. Getting a lot of stuff implemented in a short period of time through process & hustle1. Should have great attention to details2. Should have structured thinking3. Should have thoughtfulness and a keen interest in the productAnnual CTC: ₹ 5,40,000 - 7,20,000 /year1WebsiteInternshala is a dot com business with the heart of dot org. We are a technology company on a mission to equip students with relevant skills & practical exposure through internships and online training. Imagine a world full of freedom and possibilities. A world where you can discover your passion and turn it into your career. A world where your practical skills matter more than your university degree. A world where you do not have to wait till you're 21 to taste your first work experience (and get a rude shock that it is nothing like you had imagined it to be). A world where you graduate fully assured, fully confident, and fully prepared to stake a claim on your place in the world!",1,427,0.414519906323185,1,1,3,1,1,1,,1
140,"
                                Junior WordPress Developer                            ",Netiquette Info Solutions Pvt. Ltd,Udupi,"₹ 2,00,000 - 2,40,000","As a Junior WordPress Developer at Netiquette Info Solutions Pvt. Ltd, you will have the exciting opportunity to work on a wide range of projects and collaborate with a talented team of developers. We are looking for a dynamic individual who is proficient in JavaScript, WordPress, PHP, HTML, and CSS. If you are passionate about web development and eager to learn and grow in a fast-paced environment, we want to hear from you!  Key responsibilities:  1. Assist in the design and development of WordPress websites for clients 2. Customize themes and plugins to meet client requirements 3. Troubleshoot and debug issues to ensure seamless functionality 4. Collaborate with team members to brainstorm and implement new features 5. Optimize websites for speed and performance 6. Stay up-to-date with the latest trends and technologies in web development 7. Provide support and maintenance for existing websites.  If you are a motivated individual with a strong background in WordPress development, we encourage you to apply for this exciting opportunity at Netiquette Info Solutions Pvt. Ltd.1.  Those who are from or open to relocate to UdupiAnnual CTC: ₹ 2,00,000 - 2,40,000 /year1Netiquette Info Solutions Pvt. Ltd. is a professional and reliable digital agency that offer  custom web solutions for the businesses worldwide. We create websites and applications that streamlines the business processes and increases ROI.",1,1,0.0,1,1,6,1,1,0,,0
141,"
                                Junior Python Developer                            ",Fastek Solutions,Work from home,"₹ 4,00,000 - 7,00,000","As a Junior Python Developer at Fastek Solutions, you will be responsible for working on exciting projects that leverage the power of Python to create innovative solutions for our clients. Your creativity and problem-solving skills will be crucial in developing high-quality code and contributing to the success of our team.  Key responsibilities:  1. Collaborate with senior developers to design and implement software solutions using Python 2. Write clean, efficient, and maintainable code to meet project requirements 3. Troubleshoot and debug issues to ensure the smooth functioning of our applications 4. Conduct thorough testing to identify and fix bugs before deployment 5. Stay updated on the latest trends and technologies in the Python development community 6. Participate in code reviews to provide feedback and improve overall code quality 7. Communicate effectively with team members to ensure project timelines are met and objectives are achieved  If you are passionate about Python and eager to grow your skills in a fast-paced environment, apply now to join our dynamic team at Fastek Solutions. Your contributions will make a direct impact on the success of our projects and the satisfaction of our clients.Annual CTC: ₹ 4,00,000 - 7,00,000 /year6Fastek Solutions deals with digital marketing, AMC, maintenance & all other IT services.",1,129,0.0,1,1,8,1,1,0,,0
142,"
                                Full Stack Developer                            ",Web3 Project,Work from home,"₹ 6,00,000 - 6,50,000","Key responsibilities:  1. Take the project from concept to completion. 2. Utilize Typescript and demonstrate strong program design skills to develop robust solutions. 3. Demonstrate proficiency in functional programming and apply it to solve complex problems effectively. 4. A strong passion for and understanding of cryptocurrency is important.1. Candidates with minimum 2 years of experience.1. Proficiency in Project Codebase: The candidate should have an in-depth understanding of the project codebase hosted on GitHub, specifically the RevokeCash project.2. Fluency in Hindi: The ability to speak Hindi is essential, as it facilitates communication and collaboration, especially if team members or stakeholders primarily speak Hindi.3. Fast Learner: Given the dynamic nature of projects and the need to adapt to new technologies or methodologies quickly, the candidate should be able to grasp concepts rapidly and efficiently.4. Self-Sufficiency (One Man Army): The candidate should be capable of working independently and handling tasks autonomously. This includes being proactive, resourceful, and able to solve problems effectively without constant supervision.Annual CTC: ₹ 6,00,000 - 6,50,000 /year1On a mission to create something that protects web3 end users from scams. Web3 users usually get scammed by scammers on the open internet.",1,3,2.6666666666666665,1,1,1,1,1,1,,1
143,"
                                Cloud Computing Associate                            ",ASCP GPUONCLOUD Private Limited,Pune,"₹ 2,00,000 - 2,40,000","We are seeking a highly skilled cloud and DevOps associate with hands-on experience in AWS/Azure/GCP to join our team. The ideal candidate will have experience in managing, deploying, and scaling applications/microservices in cloud environments either in POC projects or in production. They will also be responsible for implementing industry best practices to ensure efficient and reliable software releases.  Key responsibilities:  1. Implementing and maintaining CI/CD pipelines for efficient software delivery 2. Managing and maintaining version control systems like Git for source code 3. Automating infrastructure setup and configuration using tools like Ansible, Puppet, or Chef 4. Setting up monitoring tools and logging systems to track application performance and troubleshoot issues 5. Facilitating collaboration between development and operations teams for seamless deployment and operations 6. Writing infrastructure code (using tools like Terraform) to manage and provision infrastructure resources 7. Implementing automated testing strategies to ensure code quality and reliability 8. Deploying, managing, and monitoring cloud infrastructure (e.g., AWS, Azure, Google Cloud) 9. Setting up virtual servers, storage, databases, and other cloud services as per requirements 10. Implementing security measures, access controls, and compliance within the cloud environment  Requirements:  1. Preferred individuals with relevant experience in DevOps and AWS/Azure/AWS/GCP 2. Strong problem-solving skills and ability to troubleshoot complex issues 3. Certifications preferred: AWS/GCP/Azure/Kubernetes1. Candidates with minimum 1 years of experience.2.  Those who are from or open to relocate to Pune and neighboring cities1. AWS/Azure/DevOps cloud training/certification would be preferred2. Computer science engineers, information technology engineers, or electronics engineers shall apply3. Willing to learn, adopt, and implement new tech stacks and tools as per customer demands4. Sincere and honest in communication, a good team player with a good command of verbal and written EnglishAnnual CTC: ₹ 2,00,000 - 2,40,000 /year2WebsiteWe provide tailored, cost-effective expert cloud consulting, solutions, and services - that enable higher efficiency, performance, and ultimate scalability.  Expert Cloud Consulting - ECC is a team of experts providing customized multi-cloud solutions and services all across the globe. We are a team of experts with a global presence and strong expertise in IT, Cloud, and DevOps.  *Certified professionals in AWS, Azure, GCP, Kubernetes, Hashicorp, Citrix, Cisco, Checkpoint, ITIL, PMP, etc. *Executed 200+ Cloud projects - Small to Large scale Enterprises *Executed 50+ DevOps projects end-to-end *Having highly satisfied global clients in the USA, EUROPE, APAC, and India",1,20,0.25,1,1,14,1,1,1,,1
144,"
                                Junior Web Developer                            ",Aeonaxy Technologies Private Limited,Work from home,"₹ 8,00,000","We are seeking a talented Junior Web Developer to join our dynamic team at Aeonaxy Technologies Private Limited. If you have a passion for web development and possess expertise in HTML, CSS, JavaScript, ReactJS, WordPress, Node.js, Bootstrap, MySQL, jQuery, and PHP, then we want to hear from you!  Key Responsibilities: 1. Collaborate with the design team to create visually appealing and user-friendly websites. 2. Develop and maintain websites using the latest web technologies and frameworks. 3. Implement responsive web design principles to ensure websites are optimized for all devices. 4. Troubleshoot and debug issues to ensure seamless functionality of websites. 5. Utilize MySQL databases to store and retrieve data for dynamic web applications. 6. Stay up-to-date with industry trends and technologies to enhance skills and knowledge. 7. Communicate effectively with team members to ensure projects are completed on time and within budget.  If you are a proactive and innovative individual with a strong foundation in web development, we encourage you to apply for this exciting opportunity at Aeonaxy Technologies Private Limited. Join us in creating cutting-edge web solutions for our clients!Annual CTC: ₹ 8,00,000 /year10There are no limits to what we can do with technology. We, Aeonaxy, are working on such use cases, which will transform the whole education system and the current learning methods. Our every product is somehow pointing towards our goal.",1,25,0.0,1,1,10,1,1,0,,0
