job_title,company_name,location,salary,description,company_description,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,authentic,htp_ratio,result
Flutter Development,Support Tech Services,Work From Home,"₹ 1,500 /month","We are looking for a talented and passionate Flutter Developer to join our dynamic team at Support Tech Services Company. As a Flutter Developer, you will have the opportunity to work on exciting projects and contribute to the development of innovative mobile applications.  Selected intern's day-to-day responsibilities include:  1. Develop and maintain high-quality Flutter applications for Android and iOS platforms 2. Collaborate with cross-functional teams to design and implement new features, ensuring seamless integration with existing systems 3. Write clean, efficient, and maintainable code using Flutter and Dart programming languages 4. Conduct thorough testing and debugging to ensure smooth functionality and optimal performance of the applications 5. Stay updated with the latest trends and technologies in mobile app development, and implement best practices in the development process 6. Provide support and troubleshooting for any technical issues or bugs that arise in the applications 7. Work closely with the design team to ensure the user interface and user experience meet the highest standards  Requirements:  1. Strong proficiency in Flutter, Dart, Android, and Firebase 2. Solid understanding of mobile app development principles, including responsive design and performance optimization 3. Experience with Git or other version control systems 4. Ability to work in a fast-paced and collaborative environment 5. Strong problem-solving skills and attention to detail 6. Excellent communication and interpersonal skillsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests2WebsiteWe are an emotional supporting platform with headquarters in New Delhi. Our company was established in 2022 October and now it is going on successfully with all the efforts of the team. We are providing services related to emotional well-being.",1,0.5,1,1,16,1,1,1,1,
Computer Vision,Punchy Labs (OPC) Private Limited,Work From Home,"₹ 25,000 /month","Selected intern's day-to-day responsibilities include:  1. Conduct research on latest technologies for our product's use case 2. Annotate, train, evaluate and deploy machine learning models 3. Brainstorm on ideas and learnOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 12th Jan'24 and 16th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteWe are a new startup building computer vision and augmented reality products for the fashion and retail industry.",1,0,1,1,0,0,1,0,0,
Web Development,CITS Worldwide,Work From Home,"₹ 6,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing websites based on PHP & MySQL and Laravel Framework 2. Submitting 100% accurate work within the given deadline 3. Working on daily work reportingOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1We are an IT company providing IT services, including software development, mobile app development, support and maintenance, and BPO.",1,0.01396648,1,1,4,1,1,0,0,
Flutter Development,CITS Worldwide,Work From Home,"₹ 6,000 /month","Selected intern's day-to-day responsibilities:  1. Development of Flutter mobile applications including front-end development and API integration. 2. Submitting 100% accurate work within the given deadline.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1We are an IT company providing IT services, including software development, mobile app development, support and maintenance, and BPO.",1,0.01396648,1,1,4,1,1,0,0,
WordPress Page Design & Web Graphics,AdCortex,Work From Home,"₹ 7,000-9,000 /month","Selected intern's day-to-day responsibilities include:  1. Utilize pre-existing templates (provided by us) and customize them to meet client requirements using Yootheme 2. Create visually appealing and responsive websites that align with the client's brand and design guidelines, use a consistent color palette and typography across the website 3. Collaborate with the project team to gather client requirements and ensure effective communication throughout the design process 4. Implement custom features and functionalities using Yootheme's advanced capabilities 5. Conduct thorough testing to ensure the functionality, responsiveness, and compatibility of the designed websites 6. Deliver high-quality designs within the agreed-upon timelines 7. Set up important sales and floating cart, etc plugins, Google analytics code 8. Conduct speed testing and minimize the size of images and video assets used on the siteOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteAt AdCortex, we have had years of experience with major networks like Google and Facebook. We have expertise in ad-copy writing and budget management and we make sure that your campaign is getting only the absolute best ROI. We have recognition from the largest advertising networks. This allows us to provide you with the best support, tools, and resources to create a successful advertising campaign regardless of your budget.",1,0.257142857,1,1,2,1,1,1,1,
Product Management,LH2 Holdings,Work From Home,"₹ 30,000 /month","Recruiting Company: SiteGPT (https://sitegpt.ai/), an LH2 Holdings portfolio company. SiteGPT is a top-tier AI support suite used by companies of all sizes, including PE-backed fast-growing SaaS companies to large public companies like Digital Ocean.  Suitable for: Candidates looking to build a career in Product/Growth for fast-growing SaaS companies. This is an internship but with the potential to be converted into a full-time role.  Selected intern's day-to-day responsibilities include:  1. Implement Growth Hacks: Employ data-driven techniques to increase user acquisition, retention, and conversion rates 2. Analytics and Reporting: Monitor and analyze performance metrics, providing insights and recommendations for improvement 3. User Experience Optimization: Contribute to the optimization of the website and user interfaces for better user experience and higher engagement 4. Collaboration with Teams: Work with the engineering, marketing, and product teams to align growth strategies with company goals  NOTE: ENGINEERING GRADUATES ARE PREFERREDOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 1000000 to 1100000 /year1WebsiteLH2 Holdings is a holding company which acquires digital media, saas and marketplace businesses with a vision of building the Berkshire Hathaway of digital businesses. LH2 (Liquid Hydrogen) is the most commonly used rocket fuel - which is what we endevour to be for digital businesses. ",1,0,1,1,0,0,1,0,0,
Front End Development,Resolute AI Software Private Limited,Work From Home,"₹ 3,000-6,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing web applications using ReactJS and Firebase with state management and signals 2. Using GitHub for version control 3. Deploying apps on Cloud 4. Working with the team and accomplishing assigned tasks 5. Creating and maintaining technical documentation 6. Reporting progress and communicating daily to respective manager  Note : We are strictly looking for full time interns, and we plan to offer a PPO based on the conduct and performance of the candidate. Hence, part time candidates should refrain from applyingOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteWe work with enterprises to build AI capabilities, platforms, and solutions. We also offer AI consulting and services. We are an AI talent academy leveraging the latest technologies to deliver unique platforms and solutions. We are working on launching unique AI and ML-enabled solutions to solve critical problems around security, customer behavior analytics, and improving customer engagement.",1,0.073170732,1,1,5,1,1,0,0,
Web Development (Python/Django),Trade Brains,Bangalore,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Working on backend web development using Django 2. Working on web applications 3. Executing and implementing various projects 4. Maintaining/Improving the website features 5. Performing other web development tasks that are assignedOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4.  are from or open to relocate to Bangalore5. have relevant skills and interests5WebsiteTrade Brains is a financial website helping readers to learn the art of stock investing, trading, portfolio management, financial planning, money management, and more. At FinGrad (an initiative by Trade Brains), we offer the best online courses, webinars, and resources from various top experts who got the real skin in the financial game. FinGrad has been built in the mind to deliver end-to-end financial education at our best standard to our novice investors & traders.",1,0.103448276,1,1,6,1,1,0,1,
Java Developer,Inspironlabs Software Systems Private Limited,Bangalore,"₹ 5,000 /month","Selected intern's day-to-day responsibilities include:  1. Assisting with Technical Support: Providing technical assistance to end-users. Troubleshooting hardware and software issues.  2. Software Development: Collaborating with the development team on coding and programming tasks. Participating in the design and implementation of software solutions.  3. System Maintenance: Conducting routine system checks and maintenance tasks. Ensuring the security and efficiency of IT infrastructure.  4. Data Analysis: Assisting in the analysis of data to identify trends and patterns. Generating reports and summaries based on analytical findings.  5. Documentation: Creating and updating documentation for IT processes and procedures. Maintaining records of configurations, installations, and troubleshooting steps.  6.Collaboration and Communication: Collaborating with team members on various IT projects. Communicating effectively with colleagues and end-users.  7. Research and Learning: Staying informed about the latest industry trends and technologies. Engaging in continuous learning and professional development.  8. Networking and Security: Assisting in the implementation and maintenance of network security measures. Participating in security audits and risk assessments.  9. Project Assistance: Supporting IT projects by contributing to planning and execution. Assisting in project documentation and reporting.  10. Ad Hoc Tasks: Handling miscellaneous IT-related tasks and requests. Providing support during IT events or special projects.Only those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.5WebsiteInspironLabs is software Services company. We have a team of highly skilled employees providing solutions to clients requirements with latest technology and industry standard. We successfully developed various solutions to enterprise and end users with our application deployed across globe. We are working on some highly innovative products which will be part of our story in coming time  We created InspironLabs to provide clients a unique combination of: Industry Focus: Our team has worked in the IT industry for various domains and provides the solutions with high industry standards and technology. With the solutions provided by us, clients have benefited with increase the revenue of the organization, Ease the life of the users, reduce the time of the transactions",1,0,1,1,5,1,1,0,0,
Web Development,Truebodh Technologies Private Limited,Ghaziabad Sub-District,"₹ 3,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing web application using PHP/Java/ASP.NET 2. Developing MVC and cloud-based application including database management 3. Working on API based web and mobile apps 4. Working on SQL (SP and Queries) 5. Putting innovative efforts to create unique products for the organization 6. Preparing prototype and documentation for customized productsOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4.  are from or open to relocate to Ghaziabad, Noida, Ghaziabad Sub-District and neighboring cities5. have relevant skills and interests3We are online training and Solution based company specialized in offering IT training services in areas like software development and mobile system administration in addition to offering cloud services and support.",1,0.097222222,1,1,6,1,1,0,0,
Node.js Development,Autowhat,Mumbai,"₹ 2,000-5,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on the backend 2. Work on REST API 3. Work on Mongo DB (optional)Only those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 3 months4.  are from or open to relocate to Mumbai and neighboring cities5. have relevant skills and interests2WebsiteInnoLab Solutions is at the forefront of the rapidly evolving information technology landscape, dedicated to bringing innovative solutions that seamlessly blend artificial intelligence (ai) and automation. As a leading IT company, we are driven by a passion for harnessing the power of cutting-edge technologies to empower businesses, streamline processes, and create transformative user experiences.  Our core competencies encompass a wide range of services, from developing intelligent software that thinks and learns like humans, to implementing automation tools that boost operational efficiency and reduce costs. Our team of seasoned professionals is committed to understanding your unique business challenges and tailoring solutions that align with your strategic objectives.",1,0.125,1,1,3,1,1,0,1,
Flutter Development,Ostello India Private Limited,Work From Home,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Creating a Flutter-based mobile app for Android & iOS 2. Handling the endpoints connections with the backend 3. Working on database management, and authentication using Google and Facebook 4. Working on complete user experience & smooth workings of the application 5. Creating 100% same UI designs 6. Handling local and server push notifications  Requirements:  1. Should be able to handle complex tasks, such as real-time wallet (coin), channel-wise discussions, hashtag-related content & Q&A management 2. Flutter (dart with asynchronous programming) 3. Good state management with Provider 4. Handle REST API with HTTP or Dio 5. Clean code with good file management 6. Knowledge of caching with shared preferencesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 4 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2Ostello India Private Limited is the world's first B2B marketplace for coaching institutions. It gives the institutions a platform to tell the students about their institute, facilities, faculty, and success stories.  Every institute can stand among the best institutes in India and use Ostello's resources to grow its business. If you are a student, you just got lucky as Ostello lets you find the best coaching institutes near you. Compare and choose through location, demo classes, course fees, and discount offers, and select what's best for you & make the right decision for your career. It's time to own your career!",1,0.319386332,1,1,7,1,1,1,1,
Front End Development,Trade Brains,Bangalore,"₹ 6,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Handle translation of the UI/UX design wireframes to actual code that will produce visual elements of the application 2. Develop new user-facing features 3. Build reusable code and libraries for future use 4. Optimize application for maximum speed and scalability 5. Design and develop features with responsive designOnly those candidates can apply who:1. are available for the part time job/internship2. can start the part time job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests10WebsiteTrade Brains is a financial website helping readers to learn the art of stock investing, trading, portfolio management, financial planning, money management, and more. At FinGrad (an initiative by Trade Brains), we offer the best online courses, webinars, and resources from various top experts who got the real skin in the financial game. FinGrad has been built in the mind to deliver end-to-end financial education at our best standard to our novice investors & traders.",1,0.103448276,1,1,1,1,1,0,1,
PHP Development,Atlanta Systems Private Limited,Delhi,"₹ 15,000-20,000 /month","KRA-  1. Assisting with the development and maintenance of web applications using the PHP programming language 2. Writing and testing code, debugging issues, and implementing new features and functionality 3. Maintaining and updating existing codebases, 4. Working with version control systems 5. Collaborating with other developers on projects  Requirements:  1. Basic knowledge of core PHP, CI, and Laravel 2. Working knowledge of frontend & backend development 3. Knowledge of API integration 4. Coding knowledge of PHP, core PHPOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 300000 to 500000 /year2WebsiteAtlanta Systems was incorporated in 1994 and is headquartered in New Delhi. We are India's leading manufacturer of a wide range of IoT products and solutions.",1,0,1,1,7,1,1,0,0,
Front End Development,Alemeno,Work From Home,"₹ 15,000-20,000 /month","Alemeno is a dynamic and rapidly growing technology company. We are seeking a talented front-end developer with expertise in React to join our dynamic team. As a front-end developer at Alemeno, you will be instrumental in creating visually appealing and user-friendly web interfaces.  Selected intern's day-to-day responsibilities include:  1. Design and build responsive web interfaces using React to deliver a compelling user experience 2. Develop user-friendly and visually appealing interfaces that align with modern design principles 3. Write clean, efficient, and well-structured code, ensuring optimal performance and maintainability 4. Collaborate with back-end developers to integrate APIs, ensuring seamless data flow and functionality 5. Diagnose and resolve technical issues, including debugging and bug fixing, to maintain application reliability 6. Continuously enhance web application performance and address performance bottlenecks 7. Ensure cross-browser compatibility to reach a broad audience with consistent user experiences 8. Perform testing and quality assurance to deliver web applications that are reliable and bug-freeOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2Alemeno is a software services company. We develop products and services mostly in the domain of health tech, nutrition, and ed-tech.  website: https://www.alemeno.com/",1,0.279069767,1,1,8,1,1,1,1,
AWS DevOps Engineering,Rydeu Logistics UG,Work From Home,"₹ 15,000-20,000 /month","Selected intern's day-to-day responsibilities include:  1. Improve source code management, deployment, operations, maintenance, cost control, security, monitoring, and audit tools and processes 2. Implement and maintain CI/CD tools, such as Gitlab 3. Manage a critical codebase with version control using Git including Gitlab or GitHub 4. Contribute to operations strategy planning, design, implementation, and maintenance activities  Requirements:  1. Automation/Configuration Management -Terraform, Jenkins, Version Control - Git (Gitlab, GitHub) 2. 2+ years' experience in CICD pipeline security (secret management, registry scanning, runtime security) 3. Ability to adopt and extend continuous integration and testing processes, GitLab-CI experience preferred 4. Excellent problem analysis and problem-solving skills 5. Ability to communicate clearly and effectively with peers, other teamsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests1WebsiteWe are a travel management start-up focusing on customized itinerary planning and destination management for B2B travel agents and corporates. We focus on transfer, FIT, GIT, and MICE domains.",1,0.017910448,1,1,8,1,1,0,0,
Web Development,Eduminatti,Work From Home,"₹ 12,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on designing, recommending, and pitching improvements for new and existing features 2. Assist in troubleshooting issues on web-based systems 3. Work on providing technical support related to web-based systems to internal teamsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.4WebsiteEduminatti, a Dehradun-based startup, started with a vision to provide the most reliable and beneficial educational information to the masses, effortlessly. We aim to make dreams come true with perfect education and knowledge ultimately making the world a better place to thrive in. We also believe that education should not be bounded by age, and every individual has the right to attain knowledge. Our platform is an open source for all students, parents, educators, institutions, and any individual who wishes to seek knowledge regardless of their age.",1,0.01284585,1,1,0,0,1,0,0,
Wordpress (PHP Development),Technocrat United,Delhi,"₹ 8,000-15,000 /month","Selected intern's day-to-day responsibilities include:  *PHP - You must have worked on php (we are not hiring only wordpress candidates)*  1. Project development: Create a WordPress-based Learning Management System (LMS) project from the scratch 2. Theme customization: Customize the website theme to align with project requirements 3. Page design: Craft engaging landing pages, course pages, and sales funnels to enhance the user experience 4. E-commerce: Work on complete hands-on e-commerce-based websites with SEO and optimization  Eligibility criteria (read carefully): 1. Experience: Showcase experience in designing only live projects related to E-commerce and Learning Management Systems (LMS) 2. Stipend variation: The stipend offered will be determined based on your skill set and performance 3. Applicants: Only hiring experienced candidates.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 15th Jan'24 and 19th Feb'243. are available for duration of 3 months4. have relevant skills and interestsJob offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 100000 to 400000 /year2YouTube channelTechnocrat United is a YouTube channel tuning the latest reviews, unboxing & technical tips with superfluous information.",1,0,1,1,1,1,1,0,0,
Game Story Writing,Karthikeya Evolutionary Gaming Studio Private Limited`,Work From Home,"₹ 1,000 /month +  Incentives","Karthikeya Evolutionary Gaming Studio Private Limited is seeking a dynamic and creative game story writer intern to join our team! If you have a passion for gaming and the ability to captivate players with your storytelling skills, then this is the perfect opportunity for you.  Selected intern's day-to-day responsibilities include:  1. Collaborate with the game development team to create compelling and immersive storylines that enhance gameplay 2. Craft engaging character narratives, plot twists, and captivating dialogues that keep players invested in the game's world 3. Conduct extensive research on various genres and gaming trends to ensure our stories are fresh and innovative 4. Develop well-structured and coherent scripts that seamlessly integrate with gameplay mechanics 5. Revise and iterate on existing story elements based on feedback from the development team 6. Continuously brainstorm and contribute ideas for new game concepts, narratives, and unique storytelling techniques 7. Assist in writing marketing materials, including game descriptions, press releases, and social media posts, to generate excitement among players  Join our team and unlock the power of storytelling in the gaming industry!Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 11th Jan'24 and 15th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 500 per performance based).3Karthikeya Evolutionary Gaming Studio Private Limited is a startup dedicated to revolutionizing the gaming industry by designing and developing immersive video games that seamlessly blend history with next-generation gaming experiences. Our passion lies in creating captivating and educational gaming content for both mobile and PC platforms.  Mission: Our mission is to transport players through time, offering them an unprecedented opportunity to experience and interact with different historical eras. We believe that by combining engaging storytelling with state-of-the-art technology, we can provide a unique fusion of entertainment and education.  Vision: Envisions a future where gaming becomes a bridge between entertainment and education. By continuously pushing the boundaries of technology and storytelling, we aspire to be at the forefront of the gaming industry, inspiring players to explore and appreciate the richness of history through our innovative and immersive games.",1,0,1,1,2,1,1,0,0,
Android App Development,Ai Unika Technologies Private Limited,Pune,"₹ 4,000 /month","Selected intern's day-to-day responsibilities include:  1.. Develop a hybrid application in IOS and Android builds 2. Create coding algorithms to build apps on smartphones with Android 3. Work with Android Studio and Android Compose 4. Work with Android Studio, API calling, and UI development 5. Knowledge of SDK Integration 6. Work with different data structures  Skills required:  1. Degree or pursuing engineering in information technology, computer science, or similar educational programs like BCA or MCA 2. Excellent coding and proofreading skills 3. Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies 4. A solid understanding of the full mobile development life cycle 5. critical thinker and problem-solving skills 6. Ready to work in a startup environment 7. Knowledge of Flutter and React Native is preferredOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 13th Jan'24 and 17th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2WebsiteAI Unika Technologies is an innovative Indian startup at the forefront of AI product development, committed to enhancing the daily lives of individuals through cutting-edge technology. Our journey began with a vision to harness the power of Artificial Intelligence for the betterment of society.",1,0,1,1,14,1,1,0,0,
Data Science,Smollan India Private Limited,Work From Home,"₹ 10,000 /month +  Incentives","Selected intern's day-to-day responsibilities include:  1. Identify patterns, spot anomalies, and data transformation (converting, cleansing, and structuring data into a usable format) using Python and SQL 2. Use summary statistics and graphical representation to present findings 3. Update the existing KPI dashboards and suggest new visualizations on Google Data Studio/Tableau  Requirements: Working knowledge of Google Sheets/Excel automation would be an added advantage & the candidate should have good business analysis and writing skills to support reporting and insights.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 2000 per performance).1WebsiteSmollan is an international retail solutions company delivering growth for clients across five continents by covering every aspect of how a brand is managed at the point of sale.",1,0.815789473,1,1,3,1,1,1,1,
Quality Analyst,Rydeu Logistics UG,Work From Home,"₹ 8,000-10,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with the development team to understand software requirements and develop comprehensive test plans and test cases 2. Execute manual and automated tests to identify defects, inconsistencies, and areas of improvement in software applications 3. Perform thorough and systematic testing of software functionalities, user interfaces, and data integrity to ensure compliance with quality standards 4. Identify, document, and track software defects using issue-tracking systems, and work closely with the development team to resolve them 5. Conduct regression testing to validate software changes and updates and ensure the stability and reliability of the system 6. Participate in design and code reviews to provide input on quality aspects and potential issues early in the development process 7. Develop and maintain test data, test environments, and test documentation, ensuring accuracy and completeness 8. Analyze test results, generate test reports, and provide regular updates on the status of testing activities to stakeholders 9. Stay up-to-date with industry best practices, emerging trends, and advancements in software testing methodologies and tools, and proactively propose process improvementsOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests1WebsiteWe are a travel management start-up focusing on customized itinerary planning and destination management for B2B travel agents and corporates. We focus on transfer, FIT, GIT, and MICE domains.",1,0.017910448,1,1,7,1,1,0,0,
PHP Development,Code Tikki,Work From Home,"₹ 1,000 /month","Responsibilities:  Collaborate with cross-functional teams to design, develop, and maintain web applications using PHP. Write clean, efficient, and well-documented code. Troubleshoot, test, and maintain the core product software and databases. Integrate data from various back-end services and databases. Stay updated on emerging trends and technologies in PHP development. Participate in code reviews and provide constructive feedback to team members.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 15th Jan'24 and 19th Feb'243. are available for duration of 6 months4. have relevant skills and interests5WebsiteCodeTikki is an online platform designed to support and facilitate learning, collaboration, and engagement within the field of coding and technology. It provides a wide range of resources and features tailored to both beginners and experienced professionals in the tech industry. Some of its key features and offerings include Code Collaboration: Users may have the option to collaborate on coding projects, share code snippets, and seek feedback from the community.",1,0.064516129,1,1,2,1,1,0,0,
Artificial Intelligence (AI),"JMedia Corporation (Dallas, United States)",Work From Home,"₹ 2,500 /month","Selected intern's day-to-day responsibilities include:  1. Create a bot that speaks and answers questions 2. Build a landing page 3. Communicate with various teams and departments  Requirements:  1. Must have an understanding of general AI, machine learning, question answering, neural language processing, biometric verification, etc.  Note: Permanent placement in our corporation is possible at the end of the internship.Only those candidates can apply who:1. are available for the work from home job/internship2. can work from 7:30 pm - 12:30 am Indian Standard Time (as the company is based outside of India & their local work timings are 8:00 am - 1:00 pm Central Standard Time)3. can start the work from home job/internship between 15th Jan'24 and 19th Feb'244. are available for duration of 6 months5. have relevant skills and interests* Women wanting to start/restart their career can also apply.3JMedia strives to be a platform that gives a voice to the voiceless, visibility to the invisible, and hope to the hopeless. Oftentimes, large swaths of the population are left out of traditional media, which is where JMedia plays a critical role. Our focus is on underserved communities like people of color, women, differently-abled, rural, etc. Our goal is to bring their stories and voices to the masses.",1,2.107142858,1,1,2,1,1,0,1,
Generative AI,Village Company,Work From Home,"₹ 6,000 /month +  Incentives","As a Generative AI intern at Village Company, you will have the opportunity to unleash your creative potential while working with cutting-edge technologies. If you have a passion for Artificial Intelligence, Machine Learning, Content Marketing, Digital Marketing, Instagram Marketing, and Data Analysis, this is the perfect role for you!  Responsibilities: 1. Collaborate with the AI team to develop and implement innovative generative AI models and algorithms. 2. Assist in creating engaging and personalized content for marketing campaigns using AI-generated techniques. 3. Conduct thorough data analysis to identify patterns and trends, providing valuable insights to optimize marketing strategies. 4. Support the digital marketing team in managing and growing the company's presence on Instagram, leveraging AI tools. 5. Stay up-to-date with the latest AI advancements and trends in the industry, contributing to the company's competitive edge. 6. Participate in brainstorming sessions to develop creative ideas to enhance the Village Company's marketing initiatives. 7. Assist in the evaluation and improvement of existing AI models, ensuring their accuracy, efficiency, and scalability.  Join our dynamic team and be part of a company that values innovation and creativity. This internship will provide you with hands-on experience in a fast-paced environment, where you can make a real impact using your AI and marketing skills. Let's revolutionize the way marketing is done together!Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (1% of revenue generated).2WebsiteBuilding a firm which brings you the best of hand-crafted natural luxuries from Indian villages, consciously sourced closest to the place of origin and then sustainably packed to cater to the lifestyle choices of  India's  top  1%. We are post-revenue and currently serve 500+ families across  the  country.",1,0,1,1,0,0,1,0,0,
Web Development,Funnel Truffle OPC Private Limited,Work From Home,"₹ 6,000 /month","Funnel Truffle is at the forefront of digital innovation, specializing in creating dynamic and user-friendly websites. We offer a nurturing environment for budding talents to grow and contribute to real-world projects.  Position Overview:  We are seeking an enthusiastic Web Development Intern with a keen interest in WordPress and web technologies. This role is ideal for someone currently pursuing a degree in computer science or a related field and looking to gain practical experience in web development.  Key Responsibilities: 1. Assist in Website Development: Support the development team in building and maintaining websites. 2. Participate in both frontend and backend development tasks. 3. WordPress Support: Assist in customizing WordPress themes and plugins and maintaining WordPress sites under supervision. 4. Collaborative Learning: Work closely with senior developers to understand project requirements and contribute ideas. 5. Technical Skills Enhancement: Gain hands-on experience with HTML, CSS, JavaScript, and PHP, Python, SQL. 6. Testing and Feedback: Help in testing websites for functionality and responsiveness and provide feedback for improvements.  Benefits: Opportunity to gain practical experience in a professional setting. Mentorship from experienced web developers. Flexible work hours to accommodate academic commitments. Potential for future employment based on performance.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 13th Jan'24 and 17th Feb'243. are available for duration of 6 months4. have relevant skills and interests1. Currently pursuing or recently completed a degree in Computer Science or a related field.2. Basic understanding of HTML, CSS, JavaScript, and PHP, Python, SQL, Node.JS.3. Familiarity with WordPress or keen interest in learning WordPress development.4. Strong problem-solving skills and willingness to learn.5. Ability to work collaboratively in a team environment.5At Funnel Truffle, we mix digital marketing, media buying, content creation, and funnel building into a recipe for success. Our team crafts campaigns that are not just eye-catching but also sales-driving. We've helped diverse businesses skyrocket their online presence and sales with our innovative strategies and creative content.  ",1,0.083333333,1,1,9,1,1,0,0,
